Unnamed: 0,Date,Primogem Used,Total Users,Average Used,Primogem Supplied
760,2024-10-28,563195.0583202635,290609,1.9379821627006166,0.0
761,2024-10-29,355035.7612763036,290609,1.2216956848421887,40.0
762,2024-10-30,1689518.7544596305,227041,7.441469842273556,0.0
763,2024-10-31,692280.1734904003,227041,3.049141668202661,0.0
764,2024-11-01,1368397.5172543195,227041,6.027094301268579,0.0
765,2024-11-02,721790.8413907428,227041,3.1791211340275227,0.0
766,2024-11-03,588036.4509917247,227041,2.5900011495356554,20.0
767,2024-11-04,476913.2868283442,227041,2.1005601932177194,70.0
768,2024-11-05,416721.1400972337,227041,1.8354444355743398,70.0
769,2024-11-06,397373.8233533978,227041,1.7502293566069467,70.0
770,2024-11-07,317488.60709418124,227041,1.3983756550322683,70.0
771,2024-11-08,512334.39824691793,227041,2.2565721532538965,70.0
772,2024-11-09,361270.10987145815,227041,1.5912108820497537,70.0
773,2024-11-10,298895.12045510585,227041,1.3164808138402573,20.0
774,2024-11-11,270053.6993603678,227041,1.1894490394262172,40.0
775,2024-11-12,249308.5323041608,227041,1.0980771415918746,40.0
776,2024-11-13,246388.182606978,227041,1.085214488162834,40.0
777,2024-11-14,235663.9106244881,227041,1.0379795306772261,40.0
778,2024-11-15,304940.60046848125,227041,1.3431080750546431,140.0
779,2024-11-16,464975.1703070863,227041,2.04797886860561,40.0
780,2024-11-17,325213.8817504483,227041,1.4324015563288055,60.0
781,2024-11-18,244147.46713810295,227041,1.0753452774525436,0.0
782,2024-11-19,121571.42748546592,227041,0.5354602361928723,1350.0
783,2024-11-20,41160.90442096348,227041,0.18129282561723867,0.0
784,2024-11-21,1474871.1708990731,267858,5.506168084952002,0.0
785,2024-11-22,1028901.7559901224,267858,3.841220930456146,70.0
786,2024-11-23,941795.8607643648,267858,3.5160266289017494,70.0
787,2024-11-24,799224.8471772361,267858,2.9837632147527278,70.0
788,2024-11-25,581060.6528086384,267858,2.169286162103198,70.0
789,2024-11-26,510745.87716480833,267858,1.9067785063907308,70.0
790,2024-11-27,479849.9380379535,267858,1.791434036086111,70.0
791,2024-11-28,472035.2470212242,267858,1.7622592829828647,220.0
792,2024-11-29,437280.80420485936,267858,1.6325097783335176,0.0
793,2024-11-30,608876.0686463092,267858,2.2731300489300645,320.0
794,2024-12-01,1125857.999468441,267858,4.203189747808319,240.0
795,2024-12-02,559901.6791405744,267858,2.090292913187489,0.0
796,2024-12-03,451097.8058886792,267858,1.68409308621986,240.0
797,2024-12-04,539637.5573679529,267858,2.0146404339909685,200.0
798,2024-12-05,506243.7080768221,267858,1.88997046224799,200.0
799,2024-12-06,508157.2607655167,267858,1.8971143694252803,200.0
800,2024-12-07,549398.943736171,267858,2.051082826483327,200.0
801,2024-12-08,500018.1205235394,267858,1.8667283430905157,200.0
802,2024-12-09,392119.5652711268,267858,1.463908359172124,0.0
803,2024-12-10,250439.9148780938,267858,0.9349726902989413,60.0
804,2024-12-11,2862865.3186459388,234193,12.224384668397171,105.0
805,2024-12-12,931427.9856128282,234193,3.97718115235224,105.0
806,2024-12-13,778417.5327989473,234193,3.3238292041134763,105.0
807,2024-12-14,758578.1970801388,234193,3.239115588767123,105.0
808,2024-12-15,644084.8819459789,234193,2.750231142459334,0.0
809,2024-12-16,791243.578557671,234193,3.378596194410896,0.0
810,2024-12-17,529247.345858749,234193,2.2598768787228867,20.0
811,2024-12-18,522432.4492558523,234193,2.2307773898274172,220.0
812,2024-12-19,432283.864285362,234193,1.845844514077543,0.0
813,2024-12-20,656234.3554865996,234193,2.8021091812590453,380.0
814,2024-12-21,522680.0170349075,234193,2.2318344998992603,0.0
815,2024-12-22,461427.3397553758,234193,1.9702866428773524,120.0
816,2024-12-23,352945.17377704295,234193,1.5070696979715148,0.0
817,2024-12-24,323321.82377639465,234193,1.3805785133475152,0.0
818,2024-12-25,337224.6198070366,234193,1.4399432084094597,0.0
819,2024-12-26,314797.69209618523,234193,1.34418062066836,0.0
820,2024-12-27,305010.2864749063,234193,1.3023885704308256,0.0
821,2024-12-28,301930.9502641921,234193,1.2892398588522804,0.0
822,2024-12-29,300504.8920300453,234193,1.2831506152192649,0.0
823,2024-12-30,308820.4563347493,234193,1.3186579288652918,0.0
824,2024-12-31,163142.07938822973,234193,0.6966138159049575,1630.0
825,2025-01-01,86869.15973286849,234193,0.37092978753792166,0.0
826,2025-01-02,5288654.433902965,334452,15.812895225332678,0.0
827,2025-01-03,3359791.385299765,334452,10.04566091785896,110.0
828,2025-01-04,2663281.462506345,334452,7.963120156274577,90.0
829,2025-01-05,2291998.365067814,334452,6.852996439153642,80.0
830,2025-01-06,1920301.6110567604,334452,5.741635903079547,80.0
